X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.880907846743,57.7167773944131,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,253,XXXXX
-152.880974981779,57.7160936723239,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,256,XXXXX
-152.881057829502,57.7152321669609,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,259,XXXXX
-152.881126900328,57.7144855047336,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,25C,XXXXX
-152.881200828157,57.7137470971009,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,25F,XXXXX
-152.881262416094,57.7130770119023,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,262,XXXXX
-152.881336844368,57.712322184904,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,265,XXXXX
-152.881411438144,57.7115618847265,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,268,XXXXX
-152.880840033347,57.7174830085025,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,26B,XXXXX
-152.881472511645,57.710908218279,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,26E,XXXXX
-152.881554068479,57.7100877595888,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,271,XXXXX
-152.881622021136,57.7093766711671,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,274,XXXXX
-152.881691236447,57.7086245348308,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,277,XXXXX
-152.881758255379,57.7079435478708,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,27A,XXXXX
-152.881832998891,57.7071777738224,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,27D,XXXXX
-152.881909425892,57.7063572692169,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,280,XXXXX
-152.881990961348,57.7055368095915,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,283,XXXXX
